run,eps,tl,tu,post_processing,duration,unique_size,acc_size,hausdorff
1,0.5,0,7,,0.1126396656036377,0,0.0,
2,0.5,0,7,,0.09905338287353516,0,0.0,
3,0.5,0,7,,0.1270308494567871,0,0.0,
4,0.5,0,7,,0.1446070671081543,0,0.0,
5,0.5,0,7,,0.12795758247375488,0,0.0,
6,0.5,0,7,,0.14476490020751953,0,0.0,
7,0.5,0,7,,0.11777782440185547,0,0.0,
8,0.5,0,7,,0.09781599044799805,0,0.0,
1,0.5,0,8,,0.10466694831848145,0,0.0,
2,0.5,0,8,,0.1866765022277832,0,0.0,
3,0.5,0,8,,0.17064619064331055,0,0.0,
4,0.5,0,8,,0.14449667930603027,0,0.0,
5,0.5,0,8,post_centroid,0.1484661102294922,1,107.2880119022524,258.51443841106243
6,0.5,0,8,,0.14790797233581543,0,0.0,
7,0.5,0,8,,0.12995028495788574,0,0.0,
8,0.5,0,8,,0.1333611011505127,0,0.0,
1,0.5,0,8,,0.15831375122070312,0,0.0,
2,0.5,0,8,,0.10743999481201172,0,0.0,
3,0.5,0,8,,0.15191102027893066,0,0.0,
4,0.5,0,8,,0.18099093437194824,0,0.0,
5,0.5,0,8,,0.15647387504577637,0,0.0,
6,0.5,0,8,,0.14082980155944824,0,0.0,
7,0.5,0,8,,0.1708993911743164,0,0.0,
8,0.5,0,8,,0.16335415840148926,0,0.0,
1,0.5,0,9,,0.1802682876586914,0,0.0,
2,0.5,0,9,,0.17023515701293945,0,0.0,
3,0.5,0,9,,0.16407489776611328,0,0.0,
4,0.5,0,9,,0.16982126235961914,0,0.0,
5,0.5,0,9,,0.24078154563903809,0,0.0,
6,0.5,0,9,,0.2170557975769043,0,0.0,
7,0.5,0,9,,0.21074891090393066,0,0.0,
8,0.5,0,9,,0.17437410354614258,0,0.0,
1,0.5,0,9,,0.11736273765563965,0,0.0,
2,0.5,0,9,,0.15023040771484375,0,0.0,
3,0.5,0,9,,0.1396777629852295,0,0.0,
4,0.5,0,9,,0.137037992477417,0,0.0,
5,0.5,0,9,,0.19104933738708496,0,0.0,
6,0.5,0,9,,0.13906311988830566,0,0.0,
7,0.5,0,9,,0.20372581481933594,0,0.0,
8,0.5,0,9,,0.1504213809967041,0,0.0,
1,1.0,0,1,post_centroid,0.04822254180908203,65,1096.0714297701152,64.70929106682351
2,1.0,0,1,post_centroid,0.0419468879699707,59,958.6466481493088,59.6202926736183
3,1.0,0,1,post_centroid,0.04749560356140137,77,1200.3799413204952,53.87448852616341
4,1.0,0,1,post_centroid,0.08524084091186523,65,1049.8363204447103,62.87275060042368
5,1.0,0,1,post_centroid,0.12789225578308105,65,1062.0283947020018,62.26734840966234
6,1.0,0,1,post_centroid,0.0691981315612793,54,933.6667150684891,54.42395300640163
7,1.0,0,1,post_centroid,0.09533166885375977,40,703.3237158446091,69.98554007183537
8,1.0,0,1,post_centroid,0.09728002548217773,62,1049.3013383861621,69.7119607261481
1,1.0,0,1,post_uniform,0.04115939140319824,52,839.7190524860495,50.729951023362894
2,1.0,0,1,post_uniform,0.03705739974975586,54,903.0764614610982,57.36029142080842
3,1.0,0,1,post_uniform,0.03717756271362305,61,1027.0321049063787,58.945848887407315
4,1.0,0,1,post_uniform,0.06374049186706543,60,969.3928335763715,61.71693296590581
5,1.0,0,1,post_uniform,0.08071756362915039,49,777.9713997240931,61.1642990903971
6,1.0,0,1,post_uniform,0.12115240097045898,62,988.4384619754643,63.35490259301659
7,1.0,0,1,post_uniform,0.06470823287963867,49,811.4036123681008,56.7617693864845
8,1.0,0,1,post_uniform,0.04881477355957031,48,780.4517598263809,54.68470022355159
1,1.0,0,2,post_centroid,0.06942534446716309,38,916.3669253329822,86.61395077896847
2,1.0,0,2,post_centroid,0.05832982063293457,36,864.1497167176672,79.44018591035065
3,1.0,0,2,post_centroid,0.0776529312133789,17,417.105082697587,96.26882386007075
4,1.0,0,2,post_centroid,0.12154102325439453,33,773.4115093459567,72.81053578492269
5,1.0,0,2,post_centroid,0.08084297180175781,32,740.0685848506756,76.01855491807665
6,1.0,0,2,post_centroid,0.06909799575805664,27,682.9553932572254,90.58598661884754
7,1.0,0,2,post_centroid,0.07344722747802734,38,888.6665242504223,84.41847935063163
8,1.0,0,2,post_centroid,0.07265925407409668,48,1109.57937999136,68.49168656617859
1,1.0,0,2,post_uniform,0.0697321891784668,47,1062.8141013545098,80.40237438160568
2,1.0,0,2,post_uniform,0.06945061683654785,35,848.495713208644,81.82472490906824
3,1.0,0,2,post_uniform,0.07393169403076172,31,764.1063429247371,86.19333231553557
4,1.0,0,2,post_uniform,0.08378195762634277,30,707.1714909044533,78.48832354027147
5,1.0,0,2,post_uniform,0.06582355499267578,37,874.9191494140988,77.03842751465591
6,1.0,0,2,post_uniform,0.1365048885345459,52,1203.5652803916946,76.16114008066528
7,1.0,0,2,post_uniform,0.08156442642211914,26,616.6193326073677,85.76020725451903
8,1.0,0,2,post_uniform,0.1354374885559082,30,716.2258950651765,81.4162605347045
1,1.0,0,3,post_centroid,0.0885007381439209,24,751.3949355068908,90.43805826056723
2,1.0,0,3,post_centroid,0.09303712844848633,18,660.8727843940006,104.65668707219717
