run,eps,tl,tu,post_processing,query_run,psi_distortion,dai_distortion
1,0.5,0,1,post_centroid,1,0.062499999999998695,0.9999999999999678
1,0.5,0,1,post_centroid,2,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,3,0.2126696832579176,0.5957446808510596
1,0.5,0,1,post_centroid,4,0.9999999999996666,0.9999999999996666
1,0.5,0,1,post_centroid,5,0.99999999999975,0.99999999999975
1,0.5,0,1,post_centroid,6,0.22580645161289595,0.999999999999963
1,0.5,0,1,post_centroid,7,0.99999999999975,0.99999999999975
1,0.5,0,1,post_centroid,8,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,9,0.99999999999975,0.9999999999996666
1,0.5,0,1,post_centroid,10,0.9999999999999376,0.9999999999999376
1,0.5,0,1,post_centroid,11,0.266968325791854,0.5581395348837166
1,0.5,0,1,post_centroid,12,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,13,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,14,0.9999999999999787,0.9999999999999787
1,0.5,0,1,post_centroid,15,0.5925925925925816,0.5925925925925816
1,0.5,0,1,post_centroid,16,0.0,0.0
1,0.5,0,1,post_centroid,17,0.5833333333333091,0.9999999999998571
1,0.5,0,1,post_centroid,18,0.9344262295081813,0.99999999999975
1,0.5,0,1,post_centroid,19,0.42857142857141833,0.9999999999999706
1,0.5,0,1,post_centroid,20,0.9999999999999862,0.9999999999999862
1,0.5,0,1,post_centroid,21,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,22,0.9523809523809411,0.9523809523809411
1,0.5,0,1,post_centroid,23,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,24,0.9999999999999,0.9999999999999
1,0.5,0,1,post_centroid,25,0.9999999999996666,0.9999999999996666
1,0.5,0,1,post_centroid,26,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,27,0.9999999999999,0.9999999999999
1,0.5,0,1,post_centroid,28,0.9999999999997999,0.9999999999997999
1,0.5,0,1,post_centroid,29,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,30,0.29166666666665453,0.9999999999999286
1,0.5,0,1,post_centroid,31,0.9999999999998334,0.9999999999998334
1,0.5,0,1,post_centroid,32,0.0,0.0
1,0.5,0,1,post_centroid,33,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,34,0.9999999999998889,0.9999999999998889
1,0.5,0,1,post_centroid,35,0.7037037037036776,0.7037037037036776
1,0.5,0,1,post_centroid,36,0.9999999999995,0.9999999999995
1,0.5,0,1,post_centroid,37,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,38,0.9999999999999616,0.9999999999999616
1,0.5,0,1,post_centroid,39,0.40540540540539444,0.40540540540539444
1,0.5,0,1,post_centroid,40,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,41,0.9062499999999859,0.9999999999998334
1,0.5,0,1,post_centroid,42,0.9999999999999091,0.9999999999999091
1,0.5,0,1,post_centroid,43,0.0,0.0
1,0.5,0,1,post_centroid,44,0.9999999999998889,0.999999999999875
1,0.5,0,1,post_centroid,45,0.43589743589743035,0.43589743589743035
1,0.5,0,1,post_centroid,46,0.999999999999875,0.999999999999875
1,0.5,0,1,post_centroid,47,0.999999999999875,0.999999999999875
1,0.5,0,1,post_centroid,48,0.3846153846153797,0.3846153846153797
1,0.5,0,1,post_centroid,49,0.9999999999999231,0.9999999999999231
1,0.5,0,1,post_centroid,50,0.0,0.0
1,0.5,0,1,post_centroid,51,0.9999999999989999,0.9999999999989999
1,0.5,0,1,post_centroid,52,0.9999999999998334,0.9999999999997999
1,0.5,0,1,post_centroid,53,0.9999999999998571,0.9999999999997999
1,0.5,0,1,post_centroid,54,0.9179104477611872,0.9179104477611872
1,0.5,0,1,post_centroid,55,0.9999999999999525,0.99999999999995
1,0.5,0,1,post_centroid,56,0.999999999999875,0.9999999999997999
1,0.5,0,1,post_centroid,57,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,58,0.9999999999989999,0.9999999999989999
1,0.5,0,1,post_centroid,59,0.9999999999998889,0.9999999999998889
1,0.5,0,1,post_centroid,60,0.7857142857142717,0.7857142857142717
1,0.5,0,1,post_centroid,61,0.96116504854368,0.99999999999975
1,0.5,0,1,post_centroid,62,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,63,0.9999999999996666,0.9999999999996666
1,0.5,0,1,post_centroid,64,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,65,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,66,0.0,0.0
1,0.5,0,1,post_centroid,67,0.5972222222222181,0.5972222222222181
1,0.5,0,1,post_centroid,68,0.9411764705882215,0.9411764705882215
1,0.5,0,1,post_centroid,69,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,70,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,71,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,72,0.02684563758389244,0.02684563758389244
1,0.5,0,1,post_centroid,73,0.9999999999995,0.9999999999995
1,0.5,0,1,post_centroid,74,0.9999999999998889,0.9999999999998889
1,0.5,0,1,post_centroid,75,0.8529411764705758,0.8529411764705758
1,0.5,0,1,post_centroid,76,0.21739130434782294,0.21739130434782294
1,0.5,0,1,post_centroid,77,0.8441558441558332,0.8441558441558332
1,0.5,0,1,post_centroid,78,0.3578947368421015,0.9999999999999858
1,0.5,0,1,post_centroid,79,0.9999999999998334,0.9999999999998334
1,0.5,0,1,post_centroid,80,0.8292682926829168,0.8292682926829168
1,0.5,0,1,post_centroid,81,0.9999999999999,0.9999999999999
1,0.5,0,1,post_centroid,82,0.9999999999999644,0.9999999999999644
1,0.5,0,1,post_centroid,83,0.9999999999997999,0.9999999999997999
1,0.5,0,1,post_centroid,84,0.8749999999999636,0.9999999999995
1,0.5,0,1,post_centroid,85,0.8518518518518203,0.8518518518518203
1,0.5,0,1,post_centroid,86,0.9999999999999616,0.9999999999999616
1,0.5,0,1,post_centroid,87,0.0,0.02406417112299462
1,0.5,0,1,post_centroid,88,0.99999999999975,0.99999999999975
