run,eps,m,tl,tu,query_run,psi_distortion,dai_distortion
1,0.5,20,0,36,1,0.9999999999995,0.9999999999995
1,0.5,20,0,36,2,0.1772151898734155,0.9999999999998571
1,0.5,20,0,36,3,0.3229166666666633,0.830769230769218
1,0.5,20,0,36,4,0.9999999999999286,0.99999999999975
1,0.5,20,0,36,5,0.7499999999999883,0.99999999999975
1,0.5,20,0,36,6,0.7435897435897245,0.8717948717948494
1,0.5,20,0,36,7,0.0,0.03208556149732616
1,0.5,20,0,36,8,0.0,0.03208556149732616
1,0.5,20,0,36,9,0.0,0.03208556149732616
1,0.5,20,0,36,10,0.9999999999989999,0.9999999999989999
1,0.5,20,0,36,11,0.9999999999996666,0.9999999999996666
1,0.5,20,0,36,12,0.2684824902723725,0.9999999999999
1,0.5,20,0,36,13,0.7999999999999966,0.10526315789473131
1,0.5,20,0,36,14,0.0,0.03208556149732616
1,0.5,20,0,36,15,0.9999999999995,0.9999999999989999
1,0.5,20,0,36,16,0.9999999999999166,0.9999999999998571
1,0.5,20,0,36,17,0.9999999999999475,0.99999999999975
1,0.5,20,0,36,18,0.0,0.03208556149732616
1,0.5,20,0,36,19,0.0,0.03208556149732616
1,0.5,20,0,36,20,0.9999999999989999,0.9999999999989999
1,0.5,20,0,36,21,0.9999999999997999,0.9999999999995
1,0.5,20,0,36,22,0.0,0.03208556149732616
1,0.5,20,0,36,23,0.0,0.03208556149732616
1,0.5,20,0,36,24,0.34343434343434,0.9999999999998334
1,0.5,20,0,36,25,0.2545454545454536,0.014634146341463344
1,0.5,20,0,36,26,0.0,0.03208556149732616
1,0.5,20,0,36,27,0.5559566787003589,0.9999999999999413
1,0.5,20,0,36,28,0.0,0.03208556149732616
1,0.5,20,0,36,29,0.9999999999996666,0.9999999999989999
1,0.5,20,0,36,30,0.0,0.03208556149732616
1,0.5,20,0,36,31,0.0,0.03208556149732616
1,0.5,20,0,36,32,0.9999999999999231,0.9999999999999091
1,0.5,20,0,36,33,0.606060606060597,0.99999999999995
1,0.5,20,0,36,34,0.0,0.03208556149732616
1,0.5,20,0,36,35,0.0,0.03208556149732616
1,0.5,20,0,36,36,0.0,0.03208556149732616
