run,eps,m,tl,tu,duration,hausdorff
1,1.0,60,0,36,49.06288242340088,122.26547488345439
2,1.0,60,0,36,48.81058716773987,132.54616130233222
3,1.0,60,0,36,49.03097152709961,127.1435658795602
4,1.0,60,0,36,49.203123569488525,146.38194122034398
5,1.0,60,0,36,49.50086164474487,139.8454542919874
6,1.0,60,0,36,47.729357957839966,116.93854730728586
7,1.0,60,0,36,49.01625180244446,102.69977493623108
8,1.0,60,0,36,51.134177446365356,147.93730953918413
1,1.0,80,0,36,58.37298917770386,118.96454848712835
2,1.0,80,0,36,56.19359731674194,106.41665474033951
3,1.0,80,0,36,57.84813857078552,128.37471867028887
4,1.0,80,0,36,56.37797689437866,112.29730946578911
5,1.0,80,0,36,56.41171646118164,121.62346431457286
6,1.0,80,0,36,57.83820629119873,109.71457516059323
7,1.0,80,0,36,56.3671669960022,159.4010388672086
8,1.0,80,0,36,55.08561635017395,129.75197729748714
1,2.0,20,0,36,22.578285217285156,172.88993580577971
2,2.0,20,0,36,21.928420782089233,171.0061898892858
3,2.0,20,0,36,22.053499937057495,157.65042499475354
4,2.0,20,0,36,21.9412260055542,185.11723724582703
5,2.0,20,0,36,21.25623059272766,183.72759689510664
6,2.0,20,0,36,21.49479651451111,215.42819148036386
7,2.0,20,0,36,21.248363256454468,205.0691713648528
8,2.0,20,0,36,22.771457195281982,162.31369166547518
1,2.0,40,0,36,29.950536251068115,151.15107279985253
2,2.0,40,0,36,32.97065544128418,137.63552375803351
3,2.0,40,0,36,33.07361388206482,139.94707500865923
4,2.0,40,0,36,33.66862988471985,118.96454848712835
5,2.0,40,0,36,32.48010301589966,148.34483653001575
6,2.0,40,0,36,32.98201775550842,144.94777191052873
7,2.0,40,0,36,31.66706395149231,139.33778783025602
8,2.0,40,0,36,32.804245948791504,149.8582498123942
1,2.0,60,0,36,44.79579019546509,118.96454848712835
2,2.0,60,0,36,45.401700019836426,124.50677419283859
3,2.0,60,0,36,43.9242308139801,107.76952280115282
4,2.0,60,0,36,43.19961142539978,125.12684456849512
5,2.0,60,0,36,45.374956369400024,118.96454848712835
6,2.0,60,0,36,43.97744655609131,110.71400756560728
7,2.0,60,0,36,45.29183483123779,139.60412967493295
8,2.0,60,0,36,42.49077749252319,101.62087394965242
1,2.0,80,0,36,54.64996814727783,134.21751516594207
2,2.0,80,0,36,56.565332651138306,120.37220017070265
3,2.0,80,0,36,55.96686029434204,101.14416491223741
4,2.0,80,0,36,52.26711940765381,108.18778421325548
5,2.0,80,0,36,55.9309561252594,103.49259484727598
6,2.0,80,0,36,55.90923190116882,99.66653931290672
7,2.0,80,0,36,54.552767515182495,115.25767659888304
8,2.0,80,0,36,56.79799675941467,113.91306839622914
1,5.0,20,0,36,21.62774419784546,180.60560378649788
2,5.0,20,0,36,20.466788291931152,166.7645965100207
3,5.0,20,0,36,22.661877870559692,172.48129701604685
4,5.0,20,0,36,18.863967180252075,206.34642557540457
5,5.0,20,0,36,20.901678323745728,183.72759689510664
6,5.0,20,0,36,22.362768411636353,160.77927164758682
7,5.0,20,0,36,22.33426523208618,169.747200431898
8,5.0,20,0,36,21.427302360534668,176.0986927928038
1,5.0,40,0,36,34.506961822509766,118.96454848712835
2,5.0,40,0,36,33.63336443901062,129.20109261678166
3,5.0,40,0,36,33.75093936920166,118.96454848712835
4,5.0,40,0,36,34.719184160232544,121.2063578183378
5,5.0,40,0,36,33.38297390937805,159.4541420134235
6,5.0,40,0,36,32.69180488586426,132.3414306180846
7,5.0,40,0,36,34.45956802368164,152.86992911918784
8,5.0,40,0,36,32.86601376533508,128.67469840903428
1,5.0,60,0,36,45.710620641708374,109.41670513705547
2,5.0,60,0,36,45.205904483795166,115.9242234893459
3,5.0,60,0,36,43.126769065856934,106.19838930917984
4,5.0,60,0,36,44.44091486930847,109.48462560335167
5,5.0,60,0,36,45.232664585113525,118.96454848712835
6,5.0,60,0,36,43.791603565216064,98.62579573579413
7,5.0,60,0,36,45.98568081855774,109.72965726130052
8,5.0,60,0,36,45.32990074157715,104.70309725619973
1,5.0,80,0,36,55.045332193374634,105.76481445830166
2,5.0,80,0,36,52.19255018234253,109.68277732677087
3,5.0,80,0,36,55.0882511138916,114.54715057122637
4,5.0,80,0,36,54.22933745384216,117.02889337706517
5,5.0,80,0,36,55.16242170333862,98.25511148198832
6,5.0,80,0,36,54.598668575286865,98.92636536313844
7,5.0,80,0,36,54.58276724815369,105.58210283126338
8,5.0,80,0,36,53.965604305267334,110.98470761771006
1,1.0,60,0,1,26.441904306411743,36.55696526793167
2,1.0,60,0,1,26.805752992630005,34.304226657325366
3,1.0,60,0,1,25.079158544540405,24.296644563524794
4,1.0,60,0,1,26.194353818893433,35.35926116050354
5,1.0,60,0,1,24.871817350387573,21.803181475315917
6,1.0,60,0,1,27.260602235794067,53.30546295253828
7,1.0,60,0,1,26.58983850479126,20.952494070803045
8,1.0,60,0,1,26.643173217773438,41.538257040750864
1,1.0,60,0,2,28.15900444984436,57.6207697029426
2,1.0,60,0,2,27.72730541229248,45.08413672531331
3,1.0,60,0,2,27.804692029953003,58.07955319807
4,1.0,60,0,2,27.364836931228638,57.788755923723976
5,1.0,60,0,2,28.782479763031006,64.80310214898917
6,1.0,60,0,2,28.400202989578247,39.44911212288658
7,1.0,60,0,2,25.4174165725708,46.72660279482352
8,1.0,60,0,2,28.336589813232422,60.00240485562529
1,1.0,60,0,3,27.59633469581604,60.0588385102696
2,1.0,60,0,3,28.89769172668457,59.7420851330729
3,1.0,60,0,3,28.454647541046143,78.0526036019079
4,1.0,60,0,3,27.658790111541748,70.74886995740577
5,1.0,60,0,3,29.03823494911194,63.0469419623372
6,1.0,60,0,3,29.113633155822754,77.98638163763141
7,1.0,60,0,3,29.042415380477905,52.02075012466379
8,1.0,60,0,3,28.24292540550232,56.393698605165596
1,1.0,60,0,4,28.768983125686646,85.10782049461346
2,1.0,60,0,4,29.041077136993408,70.32760850838149
3,1.0,60,0,4,27.457562923431396,75.22067243049464
4,1.0,60,0,4,28.4022433757782,71.62965662828566
5,1.0,60,0,4,29.774921417236328,77.30740120912851
6,1.0,60,0,4,28.599496841430664,82.12990892466397
7,1.0,60,0,4,28.104108810424805,71.44576442923437
8,1.0,60,0,4,29.085752964019775,70.83304340130876
1,1.0,60,0,5,29.99552035331726,74.57765129002999
2,1.0,60,0,5,29.406893014907837,82.23745390369884
3,1.0,60,0,5,27.903260707855225,76.76518387749014
4,1.0,60,0,5,28.151159524917603,94.04989276433051
5,1.0,60,0,5,29.676875352859497,79.83674056699377
6,1.0,60,0,5,27.98253560066223,88.5513874052981
7,1.0,60,0,5,29.321533679962158,75.71839216238482
8,1.0,60,0,5,29.71611523628235,77.80914886719367
1,1.0,60,0,6,27.915855169296265,86.88416281198741
2,1.0,60,0,6,28.908862590789795,87.19349253648136
3,1.0,60,0,6,26.454303979873657,86.04973397947842
4,1.0,60,0,6,28.55532217025757,84.80519195145634
5,1.0,60,0,6,28.718501567840576,91.2846413491431
6,1.0,60,0,6,27.49921178817749,99.81483563210986
